latitude,longitude,forecast,date_recorded
-3.72779425,34.09730676,0,2012-10-06
-8.85394964,34.76182139,0,2011-03-26
-3.2453781000000004,35.83735311,0,2013-03-20
-4.556957,38.21076217,0,2011-03-10
-5.10215138,38.82652126,0,2011-03-14
-5.6749452000000025,36.63553562,0,2013-02-17
-3.81343889,37.60762508,1,2013-02-21
-8.22694393,35.86628741,0,2011-02-20
-2.87103123,37.35961168,0,2013-12-03
-9.30555986,34.51639956,0,2011-12-03
-9.82291149,34.48200672,0,2011-02-24
-5.10433961,36.00598277,2,2011-04-17
-1.84141004,31.59052416,2,2011-07-11
-3.22875935,36.61432969,0,2013-03-25
-3.23903142,36.64363634,0,2013-02-26
-4.19355046,35.02557402,0,2013-02-07
-6.07582793,38.24230099,0,2011-03-08
-5.24612455,35.8916617,0,2011-03-30
-8.85412873,34.62690973,0,2011-03-29
-9.08179847,34.73611374,0,2011-06-04
-3.78707424,37.64366629,2,2013-02-21
-10.24341156,38.98767344,1,2013-01-28
-10.46491607,36.1306906,2,2013-02-10
-5.61577244,32.74815536,0,2012-10-28
-7.81882698,36.89378331,0,2011-03-29
-7.33636009,36.74051982,2,2011-03-17
-5.17647305,35.86705548,2,2011-04-03
-11.30830648,36.95809117,1,2013-02-13
-10.68986178,39.45899789,0,2013-01-20
-5.4796794,36.10392509,2,2011-03-18
-8.86069126,34.72724439,2,2011-03-27
-10.74639136,36.01682529,2,2013-02-27
-3.9989305,32.5187714,2,2012-10-22
-3.50966817,35.39139419,0,2013-03-29
-3.31126435,35.73163673,0,2013-03-15
-9.79731413,34.52119973,0,2011-03-09
-1.16513731,34.03690181,0,2012-10-22
-3.45212444,36.80476363,0,2013-03-19
-4.87840172,38.67036908,0,2011-03-11
-3.36673886,37.03430682,0,2013-03-23
-9.29060887,34.60540813,0,2011-03-17
-1.88104149,31.58352781,2,2011-07-11
-3.46146836,34.19893772,0,2012-10-12
-4.21466423,33.19022516,0,2012-10-09
-5.22021295,36.14512687,2,2011-04-17
-4.857017400000001,38.47383457,2,2011-03-23
-3.48008807,36.73583456,0,2013-03-17
-5.68080534,38.36516644,0,2011-03-18
-10.26383034,38.91827923,2,2013-01-27
-3.19517549,37.03945739,0,2013-03-24
-3.46679579,36.72113386,0,2013-03-17
-4.84454985,38.82275376,0,2011-03-16
-3.36452832,30.75223253,2,2013-02-08
-2e-08,0.0,0,2011-08-20
-3.75021614,37.58530386,0,2013-03-06
-6.58312227,38.84321908,0,2011-02-25
-3.18718104,37.59088914,0,2013-02-19
-3.3502403,37.34740551,2,2013-02-22
-6.64400617,38.35101087,0,2011-03-12
-3.4205866,34.10495503,2,2012-10-22
-10.524535400000001,36.04083816,0,2013-02-12
-2.38068605,30.78835329,2,2011-07-15
-4.69393049,30.06031119,2,2013-01-25
-9.89212831,34.50436344,0,2011-02-22
-6.7975229000000015,38.575093700000004,2,2011-03-02
-9.610517100000001,34.35667818,0,2011-03-10
-3.82739331,30.63213158,0,2013-02-10
-5.17881846,35.35265658,0,2011-03-14
-3.62965193,36.67222636,0,2013-02-19
-1.66590979,30.96467793,2,2011-07-15
-9.2406243,34.68086633,0,2011-04-15
-5.51807432,38.51188187,2,2011-03-24
-2.52455324,30.50896232,0,2011-07-27
-7.88181542,36.87551656,0,2011-03-26
-5.05439613,32.63319622,0,2012-10-23
-2e-08,0.0,2,2011-07-18
-10.85916147,35.34507312,0,2013-04-03
-3.21752559,37.66043891,2,2013-03-03
-4.37250045,34.25080081,2,2013-02-10
-4.15465863,35.83908979,2,2013-02-12
-10.78676407,35.70756387,0,2013-02-13
-10.28226352,40.11209762,0,2013-02-02
-4.668065299999999,38.26376826,0,2011-03-14
-9.35761371,34.64408454,0,2011-03-21
-10.456468800000001,40.32131492,0,2013-02-16
-9.500177800000001,33.95582047,2,2011-07-29
-1.47231362,31.74270096,1,2011-07-20
-3.22502964,37.04160822,0,2013-03-17
-4.63448062,33.51148899,2,2012-10-18
-6.53995349,38.83066229,0,2011-02-25
-3.40795562,33.52220851,2,2012-10-22
-3.21266668,37.16180905,0,2013-04-03
-10.21703167,34.96590335,2,2011-03-15
-7.28765311,36.01839632,0,2011-03-14
-3.32422104,36.73921669,2,2013-03-13
-9.57712303,34.3700274,0,2011-03-10
-3.31909706,37.6026059,0,2013-03-22
-4.16567532,35.03531882,0,2013-02-07
-5.94254108,35.97490664,2,2011-04-06
-5.737026599999999,37.08661522,2,2013-03-01
-3.3167372000000004,36.80401372,0,2013-03-29
-9.07327479,34.59641723,0,2011-09-04
-5.57232672,37.20754504,2,2013-02-26
-3.35589356,36.71705888,0,2013-06-03
-9.55216621,33.84850587,2,2011-07-23
-4.41592459,37.95349481,0,2013-02-15
-6.44951651,38.90284169,0,2011-03-18
-5.10721854,38.61877338,2,2011-03-18
-9.03510167,34.82033488,0,2011-07-07
-3.34979167,36.79230543,2,2013-03-20
-4.9251607,38.39710186,2,2011-03-25
-9.4873863,33.95376734,2,2011-07-30
-6.69767367,36.57408461,1,2011-03-14
-2e-08,0.0,0,2011-07-18
-2.37903929,32.52128071,0,2011-08-02
-6.82280766,38.86607565,0,2011-02-25
-4.40597145,35.53298353,2,2013-02-21
-5.99977036,34.93718983,2,2013-01-16
-4.54077625,30.15273217,2,2013-02-15
-1.35661922,34.55182205,0,2012-10-23
-10.43465942,40.12614156,0,2013-02-07
-4.7514248,38.32634808,0,2011-03-21
-2e-08,0.0,0,2011-08-11
-9.14946908,34.55491319,0,2011-04-04
-7.8731905,35.6962332,0,2011-02-19
-3.34334386,36.93584706,2,2013-04-03
-10.30127313,39.36643633,0,2013-01-23
-5.80484429,38.66003254,2,2011-03-17
-3.53000875,30.66277795,0,2013-02-05
-4.84290189,29.74090426,0,2013-01-27
-3.24970886,37.31433292,0,2013-05-04
-2.49113849,30.85061761,0,2011-07-13
-9.47446919,33.90955841,2,2011-07-31
-3.89016633,33.00745824,2,2012-10-15
-2e-08,0.0,2,2011-07-18
-8.65362013,36.72200252,0,2011-03-14
-6.36036609,37.3865924,0,2011-04-19
-9.14083579,34.68018715,0,2011-06-04
-10.51658052,34.71460573,0,2013-10-03
-3.30882496,37.50930245,2,2013-03-20
-5.6739349,36.46861393,0,2013-02-18
-6.51054761,38.92499681,0,2011-03-22
-3.39342907,36.52220314,0,2013-07-04
-7.53169693,37.76238239,2,2011-03-16
-5.16027369,35.30071888,0,2011-03-14
-4.76686766,33.23922627,2,2013-02-02
-8.56843702,34.8628255,0,2011-03-26
-3.31118178,37.46515889,0,2013-03-03
-6.78217548,38.85964263,2,2011-02-25
-9.4445598,34.21033591,0,2011-03-01
-4.667617,38.28766450000001,0,2011-03-17
-0.99875229,31.76912114,2,2011-07-17
-6.69386103,36.56871387,2,2011-03-15
-9.39047516,34.23950654,0,2011-02-26
-6.57794396,39.02959265,0,2011-03-26
-8.1218927,35.22436586,0,2011-02-24
-9.58808791,34.58579127,0,2011-02-24
-2.14366136,35.73565522,2,2013-03-19
-9.72595495,34.79191461,0,2011-03-18
-3.16893983,36.979849,0,2013-03-20
-8.88118394,34.71749811,2,2011-03-22
-6.4784051,38.99613186,0,2011-03-25
-9.59297568,34.38677038,0,2011-03-11
-6.75076655,36.47661296,2,2011-03-15
-9.37662288,39.43667996,0,2013-01-19
-3.2024091,34.12383029,0,2012-10-04
-2.56320545,30.63373494,2,2011-07-12
-4.42688332,37.96436919,2,2013-03-20
-5.27378175,38.51563204,0,2011-03-25
-5.79591041,35.0525941,2,2013-01-19
-8.47514209,31.73086306,0,2011-08-23
-2.16001766,33.53197455,2,2013-01-17
-4.5384142999999995,38.39976208,2,2011-03-06
-3.58554909,36.65501874,0,2013-06-04
-3.23380781,37.02226813,0,2013-03-21
-9.32997986,34.60692779,0,2011-03-23
-4.89606795,38.57185116,0,2011-03-09
-6.5478954000000025,38.84563347,0,2011-02-26
-9.54612205,34.81197573,0,2011-03-03
-6.85468562,36.18843838,2,2011-03-30
-6.74513379,37.62751051,0,2011-08-11
-5.220134799999999,36.49607078,0,2013-03-04
-3.17144589,34.38305051,2,2012-11-01
-3.3135485,36.64018655,1,2013-03-30
-5.73225871,34.84733057,2,2013-02-14
-4.76525779,29.65430983,0,2013-02-11
-9.636439999999999,34.69282603,0,2011-02-23
-3.58999542,37.65517792,2,2013-03-10
-2e-08,0.0,0,2011-08-15
-9.65079966,33.90202306,2,2011-12-07
-4.69023744,35.86770106,1,2011-03-25
-4.71467345,30.04277849,2,2013-01-31
-3.22325542,37.29752944,2,2013-05-04
-6.20566729,35.67519264,1,2011-04-03
-9.57280373,33.77487391,0,2011-07-15
-10.3002398,39.36829774,0,2013-01-19
-10.72661048,36.00361241,0,2013-02-28
-3.20349604,37.62504335,2,2013-02-20
-3.48297029,37.46289228,0,2013-11-03
-4.93146189,39.09565953,0,2011-03-02
-3.45515133,36.80477607,0,2013-03-19
-3.50651543,37.35924099,2,2013-05-04
-9.88783165,35.10647138,0,2011-03-16
-6.11706693,38.40925265,0,2011-03-05
-8.95688379,34.91048859,0,2011-01-03
-2.51073559,30.65305896,0,2011-07-16
-4.50326189,30.21182517,0,2013-02-19
-5.41495263,38.13131273,0,2011-04-02
-8.42437436,31.21561931,2,2011-08-07
-6.80959241,37.72669186,0,2011-03-27
-6.80044217,37.84330281,0,2011-03-17
-4.40990938,37.94673847,0,2013-02-14
-7.18288048,38.78712741,2,2011-02-19
-3.32129909,37.39431354,0,2013-02-28
-7.97071948,31.36664591,2,2011-07-29
-5.05030159,32.81560026,2,2013-01-09
-6.10847534,36.84878939,2,2011-03-30
-1.15605838,31.64157718,0,2011-07-13
-3.02893058,36.28311122,0,2013-03-16
-9.60352751,35.17737964,0,2011-03-06
-2.54657544,36.78637539,0,2013-03-24
-5.78914632,32.73241658,2,2012-10-11
-4.29105378,37.89708175,2,2013-03-29
-5.85680923,35.61186267,0,2011-03-18
-3.01451022,37.07472895,0,2013-03-19
-10.24410938,40.12605095,0,2013-02-01
-7.78921248,37.03663241,0,2011-03-11
-6.21093748,36.00881249,2,2011-04-04
-8.78389036,35.80396747,2,2011-03-04
-10.26678424,38.6369019,0,2013-01-24
-10.71129944,39.36364279,2,2013-02-07
-10.98906177,37.20276085,0,2013-02-10
-9.49269353,33.91263973,0,2011-07-28
-9.62173842,34.643896399999996,0,2011-02-26
-10.13685259,34.936546299999996,0,2011-03-15
-10.49331654,40.04063497,0,2013-02-06
-1.96895251,33.83218519,2,2012-11-06
-10.40627645,39.97438068,0,2013-02-06
-2.93755339,30.92142852,2,2013-02-08
-4.79338148,38.22987753,0,2011-03-23
-8.91143506,36.82506688,2,2011-03-06
-3.29465682,37.58199037,0,2013-03-04
-2.53192691,32.29905647,2,2011-08-04
-9.86154589,34.94092141,0,2011-03-14
-9.3536861,34.01549044,2,2011-03-23
-3.13897091,37.6153845,0,2013-02-18
-3.76366103,37.67602083,0,2013-03-15
-9.45726048,33.88633448,0,2011-07-27
-3.3327432,37.14992887,0,2013-03-14
-5.94378989,35.97245212,2,2011-04-06
-7.85358981,36.89388731,2,2011-03-25
-9.36829152,34.23438784,0,2011-02-26
-11.41148978,36.84485652,0,2013-02-14
-3.19349259,37.07772067,0,2013-03-15
-3.88554531,37.71848029,0,2013-02-20
-8.10384422,35.66542065,0,2011-02-18
-3.00071402,37.56421029,0,2013-02-25
-10.61915849,39.44774251,2,2013-02-02
-4.631097799999999,38.42172668,0,2011-03-18
-9.45600912,33.82731684,0,2011-07-25
-3.26478781,37.24932678,0,2013-11-03
-4.70559323,35.96281578,0,2011-04-17
-10.73031167,39.720369700000006,2,2013-01-30
-9.19724053,34.06214113,0,2011-02-18
-3.28473669,37.34945848,0,2013-03-15
-6.32471432,38.38874474,0,2011-02-28
-10.96864828,37.45911204,2,2013-02-26
-1.2707855,31.75363548,2,2011-08-01
-3.32003606,37.48007611,0,2013-07-03
-3.35794283,36.9158737,0,2013-01-03
-2.05659182,33.01395791,2,2011-07-27
-3.48391648,36.81738987,0,2013-03-19
-8.95296722,34.99802713,2,2011-02-03
-3.32659969,36.89806797,2,2013-06-03
-6.57839325,39.03326101,0,2011-03-26
-9.60721367,34.47341917,0,2011-02-27
-3.72643894,37.77584224,2,2013-02-20
-3.26937037,37.61138834,2,2013-03-07
-5.22563983,38.58380406,0,2011-03-06
-9.54617783,35.10184903,0,2011-03-06
-7.95655594,35.38035797,0,2011-02-25
-3.18931556,37.60380497,0,2013-02-20
-3.15453836,36.65826671,0,2013-03-23
-1.3934768999999998,34.58205129,2,2012-10-28
-3.09295897,30.88870356,2,2013-02-03
-9.77476136,39.72841178,0,2013-01-30
-9.56985946,33.74289497,0,2011-07-20
-7.83587211,36.90657624,2,2011-03-25
-8.77432946,36.36987848,2,2011-03-23
-9.94010109,38.311570700000004,2,2013-01-18
-8.42432351,31.214538300000005,2,2011-08-07
-4.5176942,35.3178367,0,2013-02-13
-7.76301258,35.21757501,0,2011-03-09
-8.51147372,31.67451777,0,2011-08-23
-1.37449229,33.93093126,2,2012-11-13
-6.78649718,38.85596398,0,2011-02-26
-6.06276907,36.96562153,2,2011-04-02
-3.67809297,35.47412209,2,2013-01-24
-9.50675562,33.7915216,2,2011-07-23
-7.89199808,36.87370744,0,2011-03-26
-5.41948255,37.922348299999996,0,2011-03-27
-7.73958097,36.93173842,2,2011-03-29
-9.59456755,34.58032147,0,2011-02-24
-7.0607852,37.77928065,0,2011-02-28
-4.11761415,33.80041557,0,2012-10-10
-3.34668401,36.66248068,0,2013-04-04
-8.99543055,34.47591277,0,2011-02-04
-3.2033693,35.90234974,0,2013-03-18
-3.30292081,36.61150392,2,2013-03-28
-4.11942119,33.217086,0,2012-10-11
-1.05799763,31.74681849,2,2011-07-18
-9.20484007,34.40651609,0,2011-03-04
-6.51016824,38.93162107,2,2011-03-22
-9.58742865,34.58371839,0,2011-02-24
-8.51317236,39.50114366,2,2013-03-04
-1.51734101,30.87756824,2,2011-07-22
-4.48522203,34.38306775,0,2013-02-11
-4.36927966,37.93731415,0,2013-02-15
-10.48889853,38.82117354,2,2013-01-22
-8.95918376,34.51973087,0,2011-02-04
-6.24082093,37.63253675,2,2011-03-09
-9.41998343,33.92732720000001,2,2011-07-30
-6.08071234,35.46742528,0,2011-03-12
-2.56531301,32.67232168,2,2011-07-25
-4.3091374,38.00386481,2,2013-02-21
-4.45633578,34.5901106,0,2013-02-13
-5.05444221,39.05575005,2,2011-08-03
-3.29337699,37.42651091,0,2013-02-24
-3.78815935,37.71674467,2,2013-02-17
-6.40888917,35.86962883,2,2011-03-16
-11.04150813,34.65960507,2,2013-11-02
-9.45557202,33.90257837,0,2011-07-28
-3.30214852,37.53066743,2,2013-03-24
-4.10084202,37.71944464,0,2013-03-24
-4.0895410000000005,34.56237084,2,2013-01-17
-9.8071243,34.70362379,0,2011-03-14
-2.87641591,31.21821098,0,2011-07-13
-4.54873104,34.55335717,0,2013-02-16
-4.71540383,30.05112634,2,2013-01-31
-6.52821277,38.98954222,2,2011-03-24
-7.53331176,37.76090731,2,2011-03-16
-9.39074443,34.20411113,0,2011-02-25
-6.64319781,38.43257934,0,2011-03-16
-9.41918045,33.95559442,0,2011-07-31
-10.700035,36.04279658,1,2013-03-01
-4.15260262,37.92358323,0,2013-03-14
-9.43874486,33.97517234,2,2011-01-08
-8.783538499999999,34.59576664,0,2011-03-28
-3.27902786,35.79724985,0,2013-03-20
-4.8225822,38.29708184,0,2011-04-04
-7.44455765,35.82214622,0,2011-03-15
-4.37044343,30.37650093,0,2013-01-18
-3.61786162,33.78710295,2,2012-10-13
-6.49655635,38.92076355,2,2011-03-23
-3.49226198,36.84173368,0,2013-03-16
-1.61962921,30.94291534,2,2011-07-14
-5.1220163,38.86225903,0,2011-03-14
-2.15057199,33.45273004,2,2013-01-20
-6.12482676,38.29967303,0,2011-03-07
-9.53803983,33.80452114,2,2011-07-17
-3.20118923,37.10010472,0,2013-03-14
-2.53029242,32.29585805,2,2011-08-04
-3.22155047,37.59058197,2,2013-02-23
-3.10510316,37.06323273,0,2013-03-20
-4.63010647,30.25093548,0,2013-01-24
-10.37145299,39.4415096,0,2013-02-04
-1.87895066,31.58783422,2,2011-07-11
-1.7062165,31.17674496,0,2011-07-12
-2.66314697,30.46909231,2,2011-07-25
-2.13348314,31.45150239,1,2011-07-17
-4.51220395,37.96701554,2,2013-03-19
-8.26602588,35.72349519,0,2011-02-23
-2.2942758999999997,35.68946571,0,2013-03-24
-3.71253842,33.58838845,2,2012-10-15
-9.10926068,34.69464429,2,2011-04-14
-5.3937132000000005,37.17849402,1,2013-02-25
-3.29749419,37.52742633,0,2013-03-24
-7.86602515,35.72605224,2,2011-02-19
-4.8368263,38.82399736,0,2011-03-16
-5.88620581,35.92608059,2,2011-04-07
-5.50362887,38.33426657,2,2011-03-20
-6.28249547,35.62252218,2,2011-04-02
-10.9420656,34.99416354,0,2013-03-14
-3.14450978,36.77233251,0,2013-10-03
-4.91802226,29.69473517,2,2013-01-24
-8.98855633,34.83435344,2,2011-03-16
-8.97162741,34.91023422,0,2011-02-28
-3.83161228,34.17033482,2,2012-10-07
-3.33367707,37.36157505,2,2013-02-21
-9.08176704,34.80651623,0,2011-03-17
-3.36680855,36.78270808,0,2013-03-13
-3.6651928,37.64774475,0,2013-03-13
-9.28788035,34.00579374,0,2011-03-13
-9.03038037,34.61646717,0,2011-10-04
-10.70980482,36.03281877,0,2013-03-01
-3.22054447,34.19428263,0,2012-10-11
-10.63663927,35.44293355,2,2013-02-16
-3.21872895,37.23342555,0,2013-03-20
-3.04215435,34.21417118,0,2012-10-15
-2.86663153,31.228145,0,2011-07-13
-3.74214503,30.58500495,2,2013-02-09
-4.9360498,38.46867617,0,2011-03-24
-3.26291306,37.04144447,0,2013-03-21
-2.15390103,35.69960704,2,2013-03-18
-4.9809823,38.51093124,0,2011-03-25
-1.96057215,33.82203168,2,2012-11-06
-8.84249025,34.142686,0,2011-03-17
-9.88378241,35.35457099,0,2013-02-25
-3.29342336,34.11123278,0,2012-10-06
-2e-08,0.0,0,2012-12-16
-2.52616815,32.28313949,2,2011-08-04
-3.87991202,33.14355916,2,2012-10-17
-5.80464799,38.6598298,2,2011-03-17
-5.40458486,36.16452655,0,2011-04-17
-3.43731779,37.27782032,0,2013-03-15
-9.26418809,35.22723239,0,2011-06-07
-3.34729825,36.65118415,0,2013-02-04
-10.67302176,35.67422038,2,2013-03-14
-6.63613459,38.34185575,0,2011-03-13
-9.35045244,34.22176705,0,2011-02-25
-3.24484616,37.21280272,0,2013-12-03
-5.4358912,38.25585759,0,2011-03-28
-4.57575369,29.75037328,0,2013-01-22
-4.88074094,29.82149172,0,2013-01-29
-9.75992454,35.29946470000001,0,2013-02-23
-6.2165405,36.00283771,2,2011-04-04
-8.62537258,34.93166307,0,2011-03-17
-9.57612285,34.73882098,0,2011-03-02
-9.26707064,34.00251675,0,2011-03-14
-2.50722536,30.57508362,0,2011-07-29
-7.64083787,35.36573684,0,2011-03-08
-3.54677952,37.50451373,0,2013-02-12
-9.57428548,33.77047843,0,2011-07-15
-9.415246699999999,33.95918406,2,2011-01-08
-4.42158895,35.51149054,0,2013-02-21
-4.47825199,30.15393442,1,2013-02-18
-3.47417697,37.18761229,0,2013-02-22
-2.00640972,32.91922781,2,2011-07-24
-10.71778179,36.0023383,0,2013-02-28
-9.25601356,35.22187639,0,2011-06-07
-9.58279823,34.37525054,0,2011-03-10
-3.39220486,36.89365874,0,2013-02-03
-3.36715063,36.77555183,2,2013-03-13
-9.50026043,33.95474102,2,2011-07-29
-4.64259134,35.85506461,0,2011-03-27
-3.43244332,36.9681454,0,2013-03-19
-4.42137851,35.49485654,0,2013-02-23
-8.08362131,31.66878827,2,2013-01-29
-8.0501433,35.46716559,0,2011-02-21
-3.19587488,37.60412098,0,2013-02-20
-9.27159062,34.37724291,0,2011-11-03
-9.55929165,34.60940553,0,2011-02-26
-1.41529777,30.93419182,2,2011-07-25
-3.35650022,37.48366815,0,2013-07-03
-4.54076372,30.13696791,0,2013-02-15
-9.0956068,34.60187464,0,2011-07-04
-3.29862261,37.44779205,0,2013-02-03
-8.42759027,31.21368029,0,2011-08-07
-4.97249739,32.69677821,0,2013-01-06
-6.45215294,38.3294939,0,2011-03-09
-10.81416523,39.43411051,0,2013-01-21
-6.00018795,35.63211836,2,2011-03-30
-3.30834367,37.29907868,0,2013-03-30
-9.94079045,38.30969554,2,2013-01-18
-7.16110609,35.76335714,0,2011-03-17
-3.71523668,34.25575661,2,2012-10-15
-2e-08,0.0,2,2011-08-16
-4.79684439,36.08083503,2,2011-04-17
-9.34982256,34.48574683,0,2011-12-03
-1.46058311,33.90865995,2,2012-11-15
-10.31297957,40.02883971,0,2013-01-31
-1.70985499,31.17639801,0,2011-07-12
-5.61183413,32.74668024,0,2012-10-28
-8.79247014,36.35927649,0,2011-03-19
-4.49963868,30.22581347,0,2013-02-19
-4.5051158,38.39346467,2,2011-03-06
-7.81027407,31.78831354,2,2011-08-11
-10.12870287,34.93125914,2,2011-03-15
-2.3395574,32.51575571,0,2011-08-02
-3.68881316,30.59032275,0,2013-02-14
-3.51351437,37.02892718,0,2013-02-21
-2.52926712,30.58385435,0,2011-07-17
-6.41391469,35.38204864,0,2011-03-10
-9.03727229,34.81847188,0,2011-07-07
-10.62919199,39.39559602,0,2013-02-06
-6.9644683,37.53209520000001,0,2011-03-23
-7.9226025999999985,35.54304631,2,2011-03-01
-3.25540663,37.16431522,0,2013-05-03
-4.67782521,30.03465452,0,2013-01-25
-4.5545551,38.20380067,0,2011-03-11
-5.94566733,35.00788373,2,2013-01-16
-9.31918746,34.53783671,0,2011-03-15
-3.2439058999999997,37.05826098,0,2013-03-17
-3.27514963,37.51576601,2,2013-03-25
-5.0897873,32.63516492,2,2012-10-22
-4.49368603,30.15841996,0,2013-02-18
-1.25342191,30.96492931,2,2011-07-26
-4.77820624,29.67486763,1,2013-01-16
-3.35521506,36.67695344,0,2013-04-04
-8.98246585,34.93359697,0,2011-01-03
-4.09660318,34.32895211,2,2013-01-16
-2.0837293000000003,33.46138654,2,2013-01-23
-9.200464,34.05782781,0,2011-02-18
-3.32466623,37.42578015,0,2013-02-26
-4.35933348,37.82414584,2,2013-03-28
-2.49844314,32.80517538,2,2011-07-28
-10.85970886,39.590920399999995,2,2013-01-26
-2e-08,0.0,0,2011-07-18
